매물명,분류,매물번호,방향,해당층,총층,방수,욕실수,총주차대수,총세대수,준공년월
빌라 예건네스빌,빌라/연립,2060133751,남,3,5,3,2,8,20,2002.07.
둔촌푸르지오 105동,아파트,2059848495,남,15,23,4,2,2010.03.
고덕리엔파크3단지 321동,아파트,2060351415,-,6,17,3,2,2011.01.
고덕리엔파크3단지 323동,아파트,2060320657,남,8,15,3,2,2011.01.
거산유팰리스 1동,오피스텔,2059864056,-,중,17,1,1,2020.07.
빌라 코다홈즈빌,빌라/연립,2060367932,-,5,5,2,1,4,8,2016.08.
빌라,빌라/연립,2060397450,남,1,4,3,2,4,6,2002.11.
빌라 아뜨리에빌B,빌라/연립,2060398656,동,5,5,3,2,8,8,2009.08.
강일포디움 1동,오피스텔,2060380359,-,5,10,1,1,2016.03.
강일리버파크7단지 711동,아파트,2060382369,남,14,15,3,2,2009.06.
빌라,빌라/연립,2060375750,서,3,6,1,1,14,20,2014.04.
고덕센트럴아이파크 507동,아파트,2060362044,남,14,26,3,2,2019.12.
상가주택,상가주택,2060361369,-,,,2,4,1992.02.
빌라,빌라/연립,2060335553,북서,6,6,2,1,10,10,2016.04.
고덕그라시움 149동,아파트,2060151493,남서,9,25,3,2,2019.09.
빌라 미르빌,빌라/연립,2060343569,남,3,5,3,2,8,8,2003.10.
빌라 이움하우스,빌라/연립,2060276395,-,2,6,3,1,10,-,2015.01.
빌라 파크빌,빌라/연립,2060327659,남,5,5,3,1,6,-,2001.01.
한강현대 103동,아파트,2060264673,남,3,17,4,2,1999.05.
명일LG 101동,아파트,2060115237,남동,7,23,3,2,1999.12.
빌라 조은빌,빌라/연립,2060339070,남,6,6,2,1,1,20,2014.04.
빌라,빌라/연립,2060319355,-,2,5,2,1,6,8,2003.11.
빌라 명성하이츠빌라,빌라/연립,2060170525,남,3,4,3,1,4,9,1991.07.
단지내상가,상가점포,2060362046,1,15,1,2006.11.
빌라,빌라/연립,2060349958,남서,6,6,2,1,10,10,2016.04.
고덕센트럴아이파크 514동,아파트,2060340258,남동,7,29,3,2,2019.12.
더존예가(167-120) 1동,오피스텔,2060330830,-,3,5,1,1,2016.09.
빌라,빌라/연립,2060293374,동,4,6,2,1,10,14,2015.11.
빌라 조은빌,빌라/연립,2060336993,남,4,5,2,1,9,11,2012.09.
고덕그라시움 126동,아파트,2060104281,남,1,21,3,2,2019.09.
빌라 제이빌더스,빌라/연립,2060336758,남,6,6,3,2,1,106,2016.10.
트리피움 1동,오피스텔,2060083930,-,7,10,1,1,2015.11.
,,,,,,
래미안솔베뉴 103동,아파트,2060049579,남,10,32,3,2,2019.06.
힐스테이트암사 103동,아파트,2059797774,남,14,26,3,2,2019.11.
단지내상가 힐스테이트암사,상가점포,2059906669,1,2,1,2019.11.
연립,빌라/연립,2059643270,동,5,5,3,2,13,-,1997.01.
빌라,빌라/연립,2058242419,남,7,16,1,1,72,131,2020.01.
빌라,빌라/연립,2058342489,동,2,6,3,2,19,-,2019.12.
삼익그린맨션2차 606동,아파트,2060050441,남,14,15,3,1,1983.12.
둔촌푸르지오 104동,아파트,2060060874,동,16,21,3,2,2010.03.
고덕리엔파크3단지 321동,아파트,2060000613,남동,17,17,3,2,2011.01.
강일리버파크3단지 302동,아파트,2060049583,남,3,11,3,2,2009.03.
